review,label
super!,positive
awesome,positive
fair,positive
useless product,negative
fair,neutral
awesome,positive
highly recommended,positive
nice,positive
unsatisfactory,negative
worth the money,positive
great product,positive
mind-blowing purchase,positive
highly recommended,positive
brilliant,positive
classy product,positive
must buy!,positive
fabulous!,positive
worth every penny,positive
super!,positive
great product,positive
awesome,positive
worth every penny,positive
just wow!,positive
awesome,positive
terrific purchase,positive
excellent,positive
worth every penny,positive
terrific,positive
awesome,positive
simply awesome,positive
wonderful,positive
terrific,positive
expected a better product,negative
excellent,positive
terrific purchase,positive
wonderful,positive
wonderful,positive
good quality product,positive
awesome,positive
excellent,positive
great product,positive
highly recommended,positive
awesome,positive
decent product,positive
fabulous!,positive
very satisfactory,positive
good quality product,positive
mind-blowing purchase,positive
waste of money!,negative
must buy!,positive
good not best,positive
must buy!,positive
does the job,positive
nice,negative
worth the money,positive
pretty good,positive
good cooler,positive
wonderful,positive
wonderful,positive
worthless,positive
great product,positive
great product,positive
must buy!,positive
good quality product,positive
decent product,positive
brilliant,positive
super!,positive
worst experience ever!,negative
perfect product!,positive
wonderful,positive
simply awesome,positive
nice product,positive
worth the money,positive
useless product,positive
excellent,positive
"like an assembled, one can get for 4.5k cheap quality",negative
simply awesome,positive
great product,positive
wonderful,positive
wonderful,positive
not good,negative
very good,positive
super!,positive
terrific purchase,positive
slightly disappointed,negative
good quality product,positive
expected a better product,positive
horrible,negative
nice,positive
good quality product,positive
simply awesome,positive
mind-blowing purchase,positive
highly recommended,positive
fabulous!,positive
brilliant,positive
great product,positive
highly recommended,positive
must buy!,positive
terrific purchase,positive
very poor,negative
mind-blowing purchase,positive
terrific purchase,positive
good quality product,positive
wonderful,positive
useless product,negative
terrific purchase,positive
simply awesome,positive
unsatisfactory,negative
really nice,positive
unsatisfactory,negative
best in the market!,positive
highly recommended,positive
classy product,positive
good quality product,positive
best in the market!,positive
good quality product,positive
brilliant,positive
absolute rubbish!,negative
terrific,positive
terrific purchase,positive
just okay,negative
nice product,positive
good quality product,positive
perfect product!,negative
must buy!,positive
perfect product!,positive
bad quality,positive
mind-blowing purchase,positive
worth the money,positive
worst experience ever!,neutral
really nice,positive
fabulous!,positive
highly recommended,positive
fabulous!,positive
good quality product,positive
great product,positive
really nice,positive
wonderful,positive
just wow!,positive
good quality product,positive
just okay,negative
super!,positive
nice,positive
fabulous!,positive
worthless,negative
worth every penny,positive
worth the money,positive
absolute rubbish!,positive
super!,positive
very good,positive
really nice,positive
just okay,neutral
terrific purchase,positive
mind-blowing purchase,positive
highly recommended,positive
very poor,negative
mind-blowing purchase,positive
terrific purchase,positive
best in the market!,positive
excellent,positive
delightful,positive
wonderful,positive
great product,positive
worst experience ever!,positive
terrific,positive
